minute,radiant_gold_adv,radiant_xp_adv,match_id
3,-25,-85,4072354014
4,-55,79,4072354014
5,426,923,4072354014
6,1007,1351,4072354014
7,2375,1649,4072354014
8,2940,1817,4072354014
9,2840,1178,4072354014
10,3098,1510,4072354014
11,3079,1880,4072354014
12,2836,2453,4072354014
13,3582,3318,4072354014
14,4162,4840,4072354014
15,5074,5990,4072354014
16,5609,6131,4072354014
17,6233,6853,4072354014
18,7731,6390,4072354014
19,7683,5725,4072354014
20,8462,5099,4072354014
21,9076,5927,4072354014
22,7509,2544,4072354014
23,6202,793,4072354014
24,7420,2741,4072354014
25,6748,2386,4072354014
26,6671,1394,4072354014
27,4804,-366,4072354014
28,5561,-798,4072354014
29,7221,4716,4072354014
30,8770,4519,4072354014
31,9054,7664,4072354014
32,12809,8368,4072354014
33,11632,5258,4072354014
34,14242,7744,4072354014
35,15511,12871,4072354014
36,15946,12904,4072354014
1,0,0,4072441405
2,447,95,4072441405
3,1830,637,4072441405
4,1698,706,4072441405
5,1476,728,4072441405
6,1501,800,4072441405
7,3461,1423,4072441405
8,3835,1432,4072441405
9,3713,936,4072441405
10,5013,1355,4072441405
11,5762,2561,4072441405
12,7968,2579,4072441405
13,8546,2930,4072441405
14,8875,3324,4072441405
15,7732,1692,4072441405
16,7635,1312,4072441405
17,7580,472,4072441405
18,7416,487,4072441405
19,7695,212,4072441405
20,8477,658,4072441405
21,8575,-124,4072441405
22,10258,-1299,4072441405
23,10907,-2246,4072441405
24,11729,217,4072441405
25,12902,1534,4072441405
26,15012,4504,4072441405
27,18565,6152,4072441405
28,20446,6991,4072441405
29,21637,7974,4072441405
30,21719,6561,4072441405
31,22698,8149,4072441405
32,22457,1063,4072441405
33,23221,1894,4072441405
34,22993,3740,4072441405
35,23856,5098,4072441405
36,23726,3755,4072441405
37,24990,3001,4072441405
38,25556,7309,4072441405
39,29024,11085,4072441405
40,32882,14715,4072441405
41,34554,14895,4072441405
42,36115,19061,4072441405
43,35914,17292,4072441405
1,0,0,4072509593
2,-24,-98,4072509593
3,-6,-197,4072509593
4,684,268,4072509593
5,812,-8,4072509593
6,1119,77,4072509593
7,521,-422,4072509593
8,-38,-1204,4072509593
9,617,-613,4072509593
10,903,-57,4072509593
11,1150,291,4072509593
12,240,870,4072509593
13,283,1439,4072509593
14,655,1022,4072509593
15,-734,-609,4072509593
16,-532,-76,4072509593
17,-2454,-1774,4072509593
18,-2779,-2425,4072509593
19,-4003,-3417,4072509593
20,-4069,-3205,4072509593
21,-4001,-4701,4072509593
22,-5460,-6469,4072509593
23,-5156,-5583,4072509593
24,-5431,-7376,4072509593
25,-4746,-5278,4072509593
26,-3994,-3760,4072509593
27,-2733,-4358,4072509593
28,-1751,-4266,4072509593
29,-1189,-3145,4072509593
30,64,-2099,4072509593
