end,last_death,match_id,start
1203,1188,3960583608,1167
1589,1574,3960583608,1548
1933,1918,3960583608,1872
2087,2072,3960583608,2051
2123,2108,3960583608,2086
2232,2217,3960583608,2176
2501,2486,3960583608,2459
2861,2846,3960583608,2824
2910,2895,3960583608,2851
405,390,3961373359,367
479,464,3961373359,442
583,568,3961373359,546
1218,1203,3961373359,1182
1247,1232,3961373359,1206
1432,1417,3961373359,1389
1526,1511,3961373359,1469
1582,1567,3961373359,1535
1617,1602,3961373359,1578
1668,1653,3961373359,1628
1766,1751,3961373359,1722
475,460,4078363316,422
775,760,4078363316,739
987,972,4078363316,927
1074,1059,4078363316,1025
1196,1181,4078363316,1154
1321,1306,4078363316,1285
1354,1339,4078363316,1318
1604,1589,4078363316,1559
1689,1674,4078363316,1638
2086,2071,4078363316,2038
487,472,3961146514,417
656,641,3961146514,617
680,665,3961146514,644
783,768,3961146514,740
907,892,3961146514,868
1509,1494,3961146514,1462
1583,1568,3961146514,1538
1638,1623,3961146514,1603
1697,1682,3961146514,1645
2068,2053,3961146514,2015
2482,2467,3961146514,2427
2676,2661,3961146514,2630
175,160,4076485641,133
250,235,4076485641,213
365,350,4076485641,316
691,676,4076485641,647
930,915,4076485641,892
1096,1081,4076485641,1060
1238,1223,4076485641,1188
1496,1481,4076485641,1460
1649,1634,4076485641,1598
1724,1709,4076485641,1674
1868,1853,4076485641,1825
2476,2461,4076485641,2433
2781,2766,4076485641,2742
1149,1134,3961259644,1107
1200,1185,3961259644,1162
2030,2015,3961259644,1991
2169,2154,3961259644,2136
2463,2448,3961259644,2402
2801,2786,3961259644,2756
3339,3324,3961259644,3296
3528,3513,3961259644,3480
3654,3639,3961259644,3614
3784,3769,3961259644,3749
165,150,3972835248,115
1047,1032,3972835248,1004
1154,1139,3972835248,1118
1553,1538,3972835248,1510
1789,1774,3972835248,1734
2215,2200,3972835248,2151
621,606,4066926568,578
1178,1163,4066926568,1143
1313,1298,4066926568,1278
1512,1497,4066926568,1474
1532,1517,4066926568,1498
2386,2371,4066926568,2332
2757,2742,4066926568,2713
2863,2848,4066926568,2821
1899,1884,4063477071,1858
2020,2005,4063477071,1970
2244,2229,4063477071,2176
2404,2389,4063477071,2350
481,466,3969431394,447
555,540,3969431394,501
1115,1100,3969431394,1080
1846,1831,3969431394,1805
2275,2260,3969431394,2225
2352,2337,3969431394,2317
2580,2565,3969431394,2516
474,459,4063131353,436
699,684,4063131353,648
733,718,4063131353,694
940,925,4063131353,893
1302,1287,4063131353,1261
1419,1404,4063131353,1381
1622,1607,4063131353,1562
2211,2196,4063131353,2165
2329,2314,4063131353,2272
2356,2341,4063131353,2318
2380,2365,4063131353,2341
2535,2520,4063131353,2486
2769,2754,4063131353,2725
917,902,3965927990,872
1001,986,3965927990,952
1058,1043,3965927990,1021
1839,1824,3965927990,1789
1941,1926,3965927990,1886
2104,2089,3965927990,2038
2175,2160,3965927990,2139
2336,2321,3965927990,2288
2503,2488,3965927990,2456
635,620,4080856812,576
1000,985,4080856812,960
1102,1087,4080856812,1062
1223,1208,4080856812,1169
1438,1423,4080856812,1406
1507,1492,4080856812,1444
1839,1824,4080856812,1794
2111,2096,4080856812,2076
2050,2035,4065178894,2014
2300,2285,4065178894,2245
2364,2349,4065178894,2331
2402,2387,4065178894,2360
2650,2635,4065178894,2614
3051,3036,4065178894,2999
3318,3303,4065178894,3276
3539,3524,4065178894,3469
1467,1452,4065192690,1427
2261,2246,4065192690,2210
2593,2578,4065192690,2523
2804,2789,4065192690,2753
2987,2972,4065192690,2930
3199,3184,4065192690,3156
3288,3273,4065192690,3242
462,447,3973036021,420
1510,1495,3973036021,1473
1778,1763,3973036021,1734
1990,1975,3973036021,1958
2151,2136,3973036021,2096
2353,2338,3973036021,2300
2749,2734,3973036021,2715
3156,3141,3973036021,3114
3265,3250,3973036021,3224
3408,3393,3973036021,3342
1000,985,4063369023,955
1143,1128,4063369023,1098
1338,1323,4063369023,1290
1536,1521,4063369023,1501
1860,1845,4063369023,1815
1936,1921,4063369023,1888
2334,2319,4063369023,2298
2493,2478,4063369023,2438
740,725,3968073382,705
827,812,3968073382,784
1277,1262,3968073382,1244
1507,1492,3968073382,1458
1630,1615,3968073382,1588
1790,1775,3968073382,1747
2394,2379,3968073382,2344
2693,2678,3968073382,2644
2835,2820,3968073382,2798
221,206,3967576585,181
279,264,3967576585,237
453,438,3967576585,416
1020,1005,3967576585,987
1224,1209,3967576585,1178
1615,1600,3967576585,1544
1674,1659,3967576585,1635
2025,2010,3967576585,1957
443,428,4066775838,394
899,884,4066775838,860
1185,1170,4066775838,1145
1221,1206,4066775838,1188
1493,1478,4066775838,1439
1731,1716,4066775838,1689
2021,2006,4066775838,1967
416,401,3967478661,367
771,756,3967478661,727
819,804,3967478661,769
1145,1130,3967478661,1082
1378,1363,3967478661,1331
2071,2056,3967478661,2004
2203,2188,3967478661,2167
1038,1023,4072699199,991
1453,1438,4072699199,1390
1772,1757,4072699199,1711
2012,1997,4072699199,1974
3044,3029,4072699199,2986
3076,3061,4072699199,3030
921,906,3967718821,876
1295,1280,3967718821,1240
1774,1759,3967718821,1727
1847,1832,3967718821,1800
2492,2477,3967718821,2443
3150,3135,3967718821,3083
430,415,3964678461,384
1264,1249,3964678461,1224
1416,1401,3964678461,1364
1584,1569,3964678461,1542
1904,1889,3964678461,1842
2847,2832,3964678461,2803
3035,3020,3964678461,2958
148,133,4061984521,98
287,272,4061984521,243
897,882,4061984521,855
984,969,4061984521,946
1113,1098,4061984521,1071
2053,2038,4061984521,2002
2517,2502,4061984521,2474
2648,2633,4061984521,2598
2874,2859,4061984521,2812
417,402,3966487370,370
780,765,3966487370,743
869,854,3966487370,821
1006,991,3966487370,965
1313,1298,3966487370,1264
1483,1468,3966487370,1437
1668,1653,3966487370,1621
2203,2188,3966487370,2149
2594,2579,3966487370,2551
372,357,4078079157,332
418,403,4078079157,382
736,721,4078079157,700
1078,1063,4078079157,1035
1650,1635,4078079157,1597
2009,1994,4078079157,1961
